model,seed,missingness_rate,accuracy,f1,n_test,best_val_f1
attention_gated_fusion_full,2024,0.75,0.6067825713672462,0.6902265809942509,4659,0.7594339622641509
imputation_baseline_post2023,2024,0.0,0.729341060313372,0.7601293513410691,4659,0.7657407407407407
imputation_baseline_post2023,2024,0.25,0.6808327967374973,0.6826040554962647,4659,0.7657407407407407
imputation_baseline_post2023,2024,0.5,0.6419832582099163,0.591776798825257,4659,0.7657407407407407
imputation_baseline_post2023,2024,0.75,0.609143593045718,0.5034087810199073,4659,0.7657407407407407
hard_mask_gated_fusion,2024,0.0,0.7357802103455677,0.7619415973699478,4659,0.7597189695550352
hard_mask_gated_fusion,2024,0.25,0.6724619016956428,0.7268170426065163,4659,0.7597189695550352
hard_mask_gated_fusion,2024,0.5,0.6276024898046791,0.7055828949601222,4659,0.7597189695550352
hard_mask_gated_fusion,2024,0.75,0.5945481863060743,0.6916925085686306,4659,0.7597189695550352
early_fusion,7,0.0,0.7186091435930457,0.7617663092858441,4659,0.7551020408163265
early_fusion,7,0.25,0.6655934749946341,0.6778329197684037,4659,0.7551020408163265
early_fusion,7,0.5,0.6276024898046791,0.5864123957091776,4659,0.7551020408163265
early_fusion,7,0.75,0.6048508263575875,0.4987748434522189,4659,0.7551020408163265
late_fusion,7,0.0,0.7336338270015025,0.7632131272657889,4659,0.7592592592592593
late_fusion,7,0.25,0.6726765400300494,0.6625359592830272,4659,0.7592592592592593
late_fusion,7,0.5,0.6312513414895901,0.5576725025746653,4659,0.7592592592592593
late_fusion,7,0.75,0.5988409529942048,0.45302897278314314,4659,0.7592592592592593
fixed_weight_fusion,7,0.0,0.7286971453101524,0.7639148300336197,4659,0.7645985401459854
fixed_weight_fusion,7,0.25,0.673749731702082,0.7332397332397332,4659,0.7645985401459854
fixed_weight_fusion,7,0.5,0.6233097231165486,0.7061778001004521,4659,0.7645985401459854
fixed_weight_fusion,7,0.75,0.5898261429491307,0.6909267345948569,4659,0.7645985401459854
dropout_only_fusion,7,0.0,0.7400729770336982,0.76662169974947,4659,0.7582005623242737
dropout_only_fusion,7,0.25,0.6799742433998712,0.730525935297307,4659,0.7582005623242737
dropout_only_fusion,7,0.5,0.6261000214638335,0.7033378746594006,4659,0.7582005623242737
